	featureCounts on dataset 110 and 121: egtBmutant	featureCounts on dataset 109 and 121: egtBmutant 2	featureCounts on dataset 108 and 121: egtBmutant3	featureCounts on dataset 113 and 121: wildtype 1	featureCounts on dataset 112 and 121: wildtype 2	featureCounts on dataset 111 and 121: wildtype 3
gene-BTH_RS14585	956.279711547502	1121.89634959983	928.810205076846	876.61683048677	915.808023149116	1041.7656465377
gene-BTH_RS14590	487.779772220802	517.661004588626	466.419875217548	424.324978453442	471.51590252505	561.371614153192
gene-BTH_RS14595	6992.79539069111	6564.47704956783	7951.3003781687	5359.9959778278	6355.11964696581	5033.74156940484
gene-BTH_RS14600	4871.04978069509	4575.05225779534	4406.30784924742	6401.52092494079	7873.1177257647	5515.22989343487
rna-BTH_RS14605	1712.04916099633	2058.1487527265	1335.79428626019	1193.89618937582	1840.32765650655	1166.5148941273
gene-BTH_RS14610	3900.31019447701	3468.32873074379	4468.76580230031	4139.09728982312	5393.57567022304	3166.88002214296
gene-BTH_RS14615	1155.82598200147	1342.34853603671	928.810205076846	1073.349320497	1035.59266351345	1246.39818425046
gene-BTH_RS14620	0	0	0	0	0	0
gene-BTH_RS14625	321.009217686813	310.596602753175	367.6960139404	308.599984329776	369.154482577349	316.250285556087
gene-BTH_RS14630	374.028758145596	319.521792487462	397.917604127282	343.317482566876	354.998115988837	326.098910365792
gene-BTH_RS14635	321.973209331518	261.508059214599	274.009084361065	308.599984329776	321.240626431616	308.590244037427
gene-BTH_RS14640	1049.7869010839	912.154390844095	850.234070590952	1108.0668187341	1266.4503340338	1131.49756147057
gene-BTH_RS14645	800.113065105269	732.758077184934	665.882370450971	785.965585089898	940.853902498022	792.267151358501
gene-BTH_RS14650	1120.15829114738	1220.96595565041	1079.91815601126	1143.74869192223	1370.98965653358	1165.42060248177
gene-BTH_RS14655	4409.29778288132	4711.60766072992	5690.72543218992	9210.74515729278	7942.81060743122	5472.55251925948
gene-BTH_RS14660	1643.60575422227	1921.59334979192	1714.57154993578	2642.38736582371	3093.71057522787	1708.18925866108
gene-BTH_RS14665	1386.219985086	1285.22732173728	1463.73235138466	1115.78181834235	1203.29116002351	1251.86964247807
gene-BTH_RS14670	0	0	0	0	0	0
gene-BTH_RS14675	1218.4854389073	1243.27892998613	1383.14144421964	1177.5018152083	1254.47186999736	1277.0383503251
gene-BTH_RS14680	614.062677677176	595.310155276919	638.682939282777	553.551221891536	619.613276066406	618.274779720377
gene-BTH_RS14685	0	0	0	0	0	0
gene-BTH_RS14690	820.356889644077	706.875026955503	938.884068472473	807.18183401257	847.204092758636	756.155527056249
gene-BTH_RS14695	376.920733079711	313.274159673461	421.087489937225	362.604981587487	402.91197213457	354.550493149384
gene-BTH_RS14700	152.310679863413	134.770364987728	146.071019236597	153.335617213857	131.763104400765	125.843539235121
gene-BTH_RS14705	401.02052419734	348.974918610608	403.961922164659	347.174982370998	353.909164712798	281.232952899357
gene-BTH_RS14710	1272.46897101079	1276.30213200299	1494.96132791111	1170.75119055109	1340.49902080447	1237.64385108628
gene-BTH_RS14715	678.650117872421	604.235345011206	734.384641541237	737.746837538371	859.182556795069	637.972029339787
gene-BTH_RS14720	5001.18865273028	4666.08919308506	5518.46236812469	4234.57040997514	5079.95770272369	5151.9250671213
gene-BTH_RS14725	1964.61497190908	1750.22970689361	1963.39597580778	1627.86491733957	1832.70499757427	1755.24379941856
gene-BTH_RS14730	1617.57797981523	1443.20318003415	1760.91132155567	1316.3718081567	1525.62073773117	1519.97109563116
gene-BTH_RS14735	91.5792062469886	98.1770870771531	89.6573842210838	107.045619564391	93.6498097393864	98.4862480970512
gene-BTH_RS14740	557.187170639573	627.440838320351	521.826123893499	595.019344785849	623.969081170563	589.823196936785
gene-BTH_RS14745	317.153251107992	341.834766823179	313.297151604012	433.968727963747	404.000923410609	315.155993910564
gene-BTH_RS14750	715.281800371216	965.705529249815	727.332937164298	894.93995455635	1072.61700689879	833.850233888367
gene-BTH_RS33610	48.1995822352572	616.730610639207	50.369316978137	57.862497061833	108.895127603938	105.051997970188
gene-BTH_RS31035	42.4156323670263	177.611275712304	32.2363628660077	50.1474974535886	41.3801484894963	47.05454075748
gene-BTH_RS33615	642.98242701833	930.004770312669	838.145434516199	877.5812054378	741.575818982816	539.485781242736
gene-BTH_RS14770	345.109008804441	664.034116230927	439.220444049354	534.263722870925	445.381071900105	391.756409097159
gene-BTH_RS14775	181.230429204567	215.097072596308	142.041473878346	208.304989422599	88.2050533591896	221.046912395604
gene-BTH_RS14780	107.967064206976	80.3267076085798	97.7164749375857	125.368743633971	82.7602969789927	123.654955944075
gene-BTH_RS35685	0	0	0	0	0	0
gene-BTH_RS14785	12.5318913811669	14.2803035748586	15.1107950934411	17.3587491185499	15.2453178645513	17.5086663283647
gene-BTH_RS14790	15.4238663152823	13.38778460143	19.1403404516921	22.1806238737026	22.8679767968269	19.6972496194102
gene-BTH_RS14795	92.5431978916937	85.6818214491518	85.6278388628329	88.7224954948106	79.4934431508745	63.4689154403219
gene-BTH_RS14800	138.814796837541	133.8778460143	170.248291386103	111.867494319544	113.250932708095	87.5433316418233
gene-BTH_RS14805	344.145017159736	323.091868381177	377.769877336027	236.271863002485	253.725647317175	234.178412141877
gene-BTH_RS14810	1037.25500970273	1040.67712301782	1060.77781555956	700.136214448179	623.969081170563	588.728905291262
gene-BTH_RS14815	0	0	0	0	0	0
gene-BTH_RS14820	185.086395783387	254.367907427169	152.115337273974	123.43999373191	126.318348020568	94.1090815149601
gene-BTH_RS14825	269.91766051744	278.465919709743	201.477267912548	202.518739716415	129.585201848686	178.369538220215
