geneID	Base mean	log2(FC)	STDERR	Waldstats	P-value	P-adjust	
gene-J2S48_RS18905	376.3068993	1.175891364	0.384393039	3.059085998	0.002220134	0.007288781	
MSTRG.3255.1	337.6324143	1.177191332	0.405056775	2.906237854	0.003658033	0.011299902	
gene-J2S48_RS05300	883.7112587	1.178728653	0.481802608	2.446497037	0.014425198	0.036590492	
gene-J2S48_RS21740	199.0432558	1.180818296	0.425758226	2.773447986	0.005546571	0.01612418	
gene-J2S48_RS20830	247.286273	1.187713491	0.442647421	2.68320436	0.007292042	0.020330437	
gene-J2S48_RS23320	538.8464194	1.187825912	0.501878019	2.366762173	0.01794446	0.04411189	
MSTRG.2101.1	1016.602839	1.189347824	0.312022383	3.811738796	0.000137993	0.000639402	
MSTRG.38.1	1060.891178	1.189566377	0.361880832	3.287177082	0.001011972	0.00367351	
gene-J2S48_RS02685	104.0872873	1.197664495	0.457747632	2.616429691	0.008885466	0.024091167	
MSTRG.3472.1	482.7186718	1.200078585	0.451515015	2.65789297	0.007863086	0.021647539	
gene-J2S48_RS14015	151.439559	1.200144	0.408431908	2.938418808	0.003298911	0.01033639	
gene-J2S48_RS14165	987.03155	1.201604527	0.35304885	3.403507837	0.000665265	0.002549697	
gene-J2S48_RS16805	1157.036054	1.202335185	0.298634068	4.026115277	5.67E-05	0.000287053	
MSTRG.3282.1	274.7744547	1.203037773	0.348026694	3.456739937	0.000546752	0.002159271	
gene-J2S48_RS12005	328.1492548	1.206585726	0.36338982	3.320361931	0.000899008	0.003339582	
gene-J2S48_RS14425	611.4199407	1.207491511	0.287676762	4.197389823	2.70E-05	0.000149896	
MSTRG.67.1	130.2868252	1.207493084	0.513443796	2.351753188	0.018685168	0.045662859	
gene-J2S48_RS05295	377.4027325	1.210168024	0.446767608	2.708719259	0.006754347	0.019081029	
MSTRG.244.1	66.64829038	1.210815948	0.512489772	2.362614853	0.018146518	0.044546076	
gene-J2S48_RS08465	141.6089229	1.211115676	0.45595266	2.656231191	0.007901942	0.021727239	
gene-J2S48_RS00850	4854.592071	1.217393341	0.515492152	2.361613724	0.01819559	0.044635261	
MSTRG.2309.1	873.1711523	1.217816189	0.28100059	4.333856335	1.47E-05	8.67E-05	
gene-J2S48_RS05400	886.4999128	1.218085351	0.33938832	3.589060907	0.000331871	0.001402346	
gene-J2S48_RS08480	3306.045768	1.218810021	0.317552946	3.83813168	0.000123974	0.000580589	
gene-J2S48_RS16255	1885.025023	1.218883738	0.36288937	3.358830099	0.000782732	0.002951463	
gene-J2S48_RS20980	361.746035	1.219741796	0.368547102	3.309595407	0.000934309	0.003434297	
gene-J2S48_RS22250	630.1535563	1.226118467	0.289481693	4.23556479	2.28E-05	0.0001286	
gene-J2S48_RS10470	598.660327	1.227316143	0.297542423	4.124844221	3.71E-05	0.000197202	
gene-J2S48_RS16055	808.5161023	1.238637066	0.317717452	3.898549039	9.68E-05	0.000468216	
gene-J2S48_RS10080	42729.48659	1.241890592	0.369048813	3.365112006	0.000765126	0.002891301	
gene-J2S48_RS10465	169.575809	1.246663129	0.45648456	2.731008318	0.006314088	0.017909514	
gene-J2S48_RS12990	2036.47252	1.24790877	0.312631419	3.991629421	6.56E-05	0.00032652	
gene-J2S48_RS07475	881.8751312	1.248997195	0.32614434	3.829584145	0.00012836	0.000599527	
gene-J2S48_RS11535	171.9447196	1.250644011	0.381884356	3.274928628	0.001056887	0.003812847	
gene-J2S48_RS14825	315.8078578	1.253480371	0.466298974	2.68814739	0.007184967	0.020070926	
gene-J2S48_RS18155	697.7997455	1.25709954	0.318447242	3.947591235	7.89E-05	0.000386218	
gene-J2S48_RS08990	1196.670149	1.261852456	0.476936134	2.645747231	0.00815107	0.022324627	
MSTRG.133.1	232.9448392	1.262134616	0.389211511	3.242798785	0.001183618	0.004196572	
gene-J2S48_RS01610	1651.321694	1.264319372	0.441214524	2.865543408	0.004162942	0.012691719	
