geneID	Base mean	log2(FC)	STDERR	Waldstats	P-value	P-adjust	
gene-J2S48_RS09095	435.2344731	1.614882528	0.348586659	4.632657292	3.61E-06	2.41E-05	
gene-J2S48_RS04405	44607.51558	1.61821689	0.351653499	4.601736926	4.19E-06	2.73E-05	
MSTRG.2703.1	91.4458888	1.619568654	0.456553487	3.547379881	0.000389083	0.001607262	
gene-J2S48_RS01625	1354.113607	1.620887223	0.332965696	4.868030686	1.13E-06	8.44E-06	
gene-J2S48_RS09820	85.35622261	1.621413081	0.678766515	2.388764098	0.016905153	0.041821152	
gene-J2S48_RS10300	97.590403	1.624097961	0.471018678	3.448054264	0.000564641	0.002217417	
gene-J2S48_RS12140	86.04861508	1.631064622	0.674024539	2.419889079	0.015525242	0.038874141	
gene-J2S48_RS14860	403.9117236	1.631501956	0.429805411	3.795908369	0.000147104	0.000679822	
MSTRG.1288.1	361.0409213	1.631715556	0.461734271	3.533884441	0.0004095	0.001677753	
gene-J2S48_RS13605	7604.76423	1.63180316	0.263196128	6.199951233	5.65E-10	7.22E-09	
gene-J2S48_RS14415	1325.506839	1.636665999	0.292572654	5.594049815	2.22E-08	2.24E-07	
gene-J2S48_RS18935	1875.356282	1.640056743	0.333698251	4.914789753	8.89E-07	6.77E-06	
gene-J2S48_RS23150	400.7786887	1.642184731	0.394561411	4.162051037	3.15E-05	0.000172364	
gene-J2S48_RS19090	1277.508798	1.648569114	0.509569689	3.235218163	0.001215498	0.004283592	
gene-J2S48_RS24645	275.4153286	1.651662795	0.456830214	3.615485015	0.000299786	0.00128067	
gene-J2S48_RS19245	5364.104847	1.653606812	0.273177496	6.053232192	1.42E-09	1.71E-08	
MSTRG.2401.1	65.93004506	1.654664209	0.680932035	2.429999068	0.015098862	0.037942118	
gene-J2S48_RS15915	72.73290598	1.656905403	0.518014692	3.19856836	0.001381118	0.00478295	
gene-J2S48_RS25890	102.9550639	1.659540942	0.476550289	3.482404648	0.000496932	0.001991709	
gene-J2S48_RS04260	379.8438658	1.66555239	0.399644697	4.16758286	3.08E-05	0.000168762	
gene-J2S48_RS00870	190.1018259	1.671212258	0.40795239	4.096586509	4.19E-05	0.000221533	
gene-J2S48_RS20480	1297.236922	1.671273234	0.332429824	5.027446731	4.97E-07	3.93E-06	
gene-J2S48_RS05550	274.0655053	1.674596334	0.552314005	3.031964276	0.00242968	0.007895332	
gene-J2S48_RS05775	148.1616102	1.67841929	0.555463303	3.021656483	0.002513957	0.008138993	
MSTRG.3171.1	1933.16542	1.678607094	0.35184273	4.770901738	1.83E-06	1.30E-05	
gene-J2S48_RS01050	105.7010863	1.679037437	0.47079351	3.56639886	0.00036192	0.001509294	
gene-J2S48_RS11525	1049.834581	1.680065633	0.35314301	4.757465345	1.96E-06	1.37E-05	
gene-J2S48_RS21395	191.0339098	1.680862722	0.600656639	2.798375334	0.005136039	0.015208407	
gene-J2S48_RS19865	2558.616755	1.687587332	0.332197686	5.080069496	3.77E-07	3.09E-06	
gene-J2S48_RS21745	998.4416304	1.687634668	0.39068459	4.319685783	1.56E-05	9.14E-05	
gene-J2S48_RS13230	112.0214188	1.688430487	0.412457259	4.093588975	4.25E-05	0.000223743	
gene-J2S48_RS26365	177.6398304	1.695837031	0.393803485	4.306302755	1.66E-05	9.63E-05	
gene-J2S48_RS17975	1540.006586	1.700600979	0.367995736	4.621251855	3.81E-06	2.52E-05	
gene-J2S48_RS05135	252.8237632	1.700900063	0.375421809	4.530637327	5.88E-06	3.72E-05	
gene-J2S48_RS12115	3628.306005	1.70399467	0.4777811	3.566475674	0.000361814	0.001509294	
gene-J2S48_RS26130	303.1047095	1.704117082	0.358213875	4.757261513	1.96E-06	1.37E-05	
MSTRG.173.1	1521.426771	1.704734237	0.287719945	5.924977632	3.12E-09	3.63E-08	
gene-J2S48_RS04345	97.64538978	1.708769191	0.595582742	2.86907103	0.004116793	0.012572909	
MSTRG.2704.1	14601.70764	1.711643202	0.270568225	6.326105741	2.51E-10	3.30E-09	
MSTRG.100.1	286.110789	1.712642927	0.408817112	4.18926429	2.80E-05	0.000154874	
gene-J2S48_RS04775	1200.622778	1.713982771	0.374390573	4.578060701	4.69E-06	3.03E-05	
gene-J2S48_RS14960	142.814483	1.725565862	0.39874557	4.327485981	1.51E-05	8.88E-05	
gene-J2S48_RS05100	554.2698182	1.72745608	0.467029789	3.698813478	0.00021661	0.000967836	
gene-J2S48_RS19835	166.1071148	1.733193598	0.527699324	3.284433992	0.001021874	0.003705617	
gene-J2S48_RS10565	883.3987092	1.736059566	0.386276052	4.494349456	6.98E-06	4.31E-05	
gene-J2S48_RS15640	174.9989337	1.740585832	0.501472953	3.470946584	0.000518627	0.002059808	
gene-J2S48_RS25690	893.8574852	1.750856311	0.32028511	5.466555436	4.59E-08	4.34E-07	
gene-J2S48_RS14560	64.75651374	1.759671678	0.53923139	3.263296072	0.001101244	0.003944436	
MSTRG.2699.1	1094449.482	1.769910307	0.546861395	3.236487934	0.001210103	0.004268874	
MSTRG.3014.1	80.55049734	1.772540974	0.592496841	2.991646286	0.002774776	0.008865801	
gene-J2S48_RS16735	339.1411109	1.774150535	0.41175154	4.308789071	1.64E-05	9.55E-05	
gene-J2S48_RS11915	34.39392859	1.775353205	0.703461766	2.523738021	0.011611442	0.030445272	
gene-J2S48_RS21030	515.4591179	1.776452093	0.439946738	4.037879905	5.39E-05	0.000275336	
MSTRG.3379.1	1231.875773	1.779236297	0.350384986	5.077946741	3.82E-07	3.11E-06	
gene-J2S48_RS19830	1810.917403	1.784357628	0.276785749	6.446710626	1.14E-10	1.60E-09	
MSTRG.1272.1	123.3085093	1.784753537	0.448855033	3.976235993	7.00E-05	0.000346904	
gene-J2S48_RS07115	236.9663726	1.784929508	0.355391466	5.022432104	5.10E-07	4.02E-06	
MSTRG.101.1	314.205843	1.786324274	0.337244496	5.296822612	1.18E-07	1.05E-06	
gene-J2S48_RS05405	32.97548813	1.791395573	0.747127569	2.39771044	0.016497901	0.040871392	
gene-J2S48_RS01845	59.87790413	1.791585115	0.6494241	2.758729027	0.005802663	0.016702324	
gene-J2S48_RS12720	766.5935761	1.794546073	0.327102978	5.486180782	4.11E-08	3.93E-07	
gene-J2S48_RS01300	365.1949786	1.797860406	0.307555324	5.845648791	5.05E-09	5.78E-08	
gene-J2S48_RS08645	83.02666142	1.799519831	0.482471135	3.729797911	0.000191633	0.000867302	
gene-J2S48_RS19925	1459.004515	1.803864514	0.328189382	5.496413389	3.88E-08	3.74E-07	
MSTRG.3088.1	77.61682526	1.809747054	0.456293059	3.966194573	7.30E-05	0.000360312	
gene-J2S48_RS02915	475.997271	1.810596099	0.302872468	5.978080834	2.26E-09	2.68E-08	
gene-J2S48_RS22820	864.0702463	1.811488246	0.318842761	5.681446994	1.34E-08	1.41E-07	
MSTRG.3017.1	52.86712155	1.813095308	0.652700391	2.777837019	0.005472206	0.015964344	
gene-J2S48_RS11500	58.71639698	1.819526116	0.609420253	2.985667292	0.002829603	0.009019199	
gene-J2S48_RS05640	471.3441082	1.822708453	0.402125681	4.532683532	5.82E-06	3.69E-05	
gene-J2S48_RS13710	228.6736387	1.831106387	0.372355207	4.917633363	8.76E-07	6.69E-06	
gene-J2S48_RS06730	986.8069655	1.832845144	0.288174471	6.36019261	2.02E-10	2.68E-09	
gene-J2S48_RS09840	128.8414147	1.834561593	0.5408802	3.391807639	0.000694332	0.002647128	
MSTRG.1953.1	6186.31748	1.840424497	0.31573835	5.82895457	5.58E-09	6.26E-08	
gene-J2S48_RS07915	214.0038804	1.844642681	0.473638031	3.894625345	9.84E-05	0.000474549	
gene-J2S48_RS07995	73.78163889	1.845616667	0.546547235	3.3768658	0.000733168	0.002782544	
MSTRG.146.1	4255.284905	1.847475642	0.40989504	4.507191988	6.57E-06	4.08E-05	
MSTRG.2126.1	372.6420885	1.847666797	0.365159466	5.059890178	4.19E-07	3.37E-06	
gene-J2S48_RS05010	19795.4316	1.852842911	0.384675557	4.81663801	1.46E-06	1.05E-05	
gene-J2S48_RS13285	259.9683477	1.857301605	0.408655	4.54491345	5.50E-06	3.50E-05	
gene-J2S48_RS13175	1008.771832	1.858113228	0.290557941	6.394983468	1.61E-10	2.17E-09	
gene-J2S48_RS24510	583.1047824	1.858321068	0.446015955	4.166490119	3.09E-05	0.000169307	
gene-J2S48_RS04515	9826.272223	1.861847469	0.439188064	4.239294326	2.24E-05	0.000126686	
gene-J2S48_RS16770	5561.935912	1.868153947	0.402013045	4.64699833	3.37E-06	2.27E-05	
MSTRG.3328.1	96.02561966	1.869112043	0.561788662	3.327073276	0.000877633	0.003274066	
gene-J2S48_RS18855	3646.813347	1.871761408	0.265140547	7.059506479	1.67E-12	3.00E-11	
MSTRG.2761.1	112.3018495	1.872366342	0.582089521	3.216629531	0.00129706	0.004539061	
gene-J2S48_RS23965	223.5626518	1.874941216	0.474615246	3.950444556	7.80E-05	0.000382711	
gene-J2S48_RS11635	594.9616517	1.875373736	0.414569946	4.523660618	6.08E-06	3.83E-05	
gene-J2S48_RS22505	62.21432865	1.875956552	0.562063743	3.337622423	0.000844985	0.003175946	
gene-J2S48_RS13890	109.9381453	1.88218425	0.57222599	3.289232373	0.00100461	0.003650571	
gene-J2S48_RS16885	324.3823201	1.886973913	0.390043289	4.837857658	1.31E-06	9.62E-06	
MSTRG.3285.1	86.66235936	1.887208264	0.577124178	3.27002114	0.001075394	0.003863699	
gene-J2S48_RS08325	3009.07825	1.898597431	0.362337268	5.23986241	1.61E-07	1.41E-06	
gene-J2S48_RS19450	907.2093229	1.921273716	0.367459451	5.228532596	1.71E-07	1.49E-06	
gene-J2S48_RS13405	3499.068836	1.926204987	0.335848978	5.7353308	9.73E-09	1.06E-07	
gene-J2S48_RS19325	37.65528961	1.929306244	0.76553369	2.520210763	0.011728458	0.030683189	
gene-J2S48_RS18950	195.1978275	1.930126307	0.415714636	4.642911604	3.44E-06	2.30E-05	
MSTRG.176.1	23.94808181	1.933207342	0.738025351	2.619432165	0.008807629	0.02391715	
MSTRG.2715.1	873.4950498	1.938681067	0.348984933	5.555199901	2.77E-08	2.75E-07	
MSTRG.1917.1	177.3366211	1.941923515	0.361414563	5.373119165	7.74E-08	7.17E-07	
MSTRG.2560.1	340.1323021	1.942091814	0.382486883	5.077538335	3.82E-07	3.11E-06	
gene-J2S48_RS04390	2635.647272	1.949891062	0.304434029	6.404970779	1.50E-10	2.06E-09	
gene-J2S48_RS11860	1167.496368	1.95001106	0.335829246	5.80655521	6.38E-09	7.11E-08	
gene-J2S48_RS18035	110.105193	1.953080429	0.587911155	3.322067311	0.000893531	0.00332276	
MSTRG.167.1	784.9117527	1.967233869	0.312058582	6.304053095	2.90E-10	3.79E-09	
gene-J2S48_RS13340	38.86428539	1.96868935	0.805817886	2.44309463	0.014561918	0.036910565	
gene-J2S48_RS13895	337.5312573	1.971104858	0.3977057	4.956189615	7.19E-07	5.53E-06	
gene-J2S48_RS15845	94.23672044	1.972786039	0.5959064	3.310563605	0.000931083	0.003426033	
gene-J2S48_RS04690	2236.409633	1.980897626	0.512574635	3.864603298	0.00011127	0.000525308	
gene-J2S48_RS00025	48.61789748	1.981912725	0.6472618	3.061995507	0.002198668	0.007225077	
gene-J2S48_RS24640	26.73189782	1.98528282	0.715952954	2.772923567	0.005555517	0.016136795	
MSTRG.3457.1	186.2605387	1.986303714	0.453838923	4.376671133	1.21E-05	7.17E-05	
gene-J2S48_RS02125	124.800596	2.000572333	0.479017061	4.176411441	2.96E-05	0.000162856	
MSTRG.1255.1	34.0100062	2.001418563	0.680328082	2.941843232	0.003262651	0.010231929	
MSTRG.63.1	3953.495975	2.004274751	0.309066306	6.484934493	8.88E-11	1.25E-09	
gene-J2S48_RS04840	4327.772222	2.010609334	0.423881614	4.743327542	2.10E-06	1.46E-05	
gene-J2S48_RS15050	1004.057289	2.011077352	0.3114236	6.457690905	1.06E-10	1.49E-09	
gene-J2S48_RS20140	429.9797884	2.021207568	0.354789279	5.69692403	1.22E-08	1.30E-07	
gene-J2S48_RS08425	115.2137461	2.039801244	0.67571405	3.018734394	0.00253833	0.00820054	
gene-J2S48_RS20015	2453.440161	2.045898848	0.344883322	5.93214782	2.99E-09	3.51E-08	
MSTRG.843.1	1956.966239	2.048727159	0.514514382	3.981865677	6.84E-05	0.000339267	
gene-J2S48_RS08330	6753.544844	2.05028925	0.39925306	5.135312556	2.82E-07	2.35E-06	
gene-J2S48_RS14525	872.2684503	2.061460462	0.302806356	6.807850695	9.91E-12	1.64E-10	
gene-J2S48_RS26370	28.87841386	2.064391818	0.734173024	2.811860082	0.004925592	0.014672067	
MSTRG.2499.1	642.7541533	2.065372008	0.410556446	5.030665159	4.89E-07	3.87E-06	
MSTRG.126.1	137.433895	2.065761498	0.633425703	3.261253039	0.00110921	0.00396486	
gene-J2S48_RS09065	270.9952192	2.078607764	0.423401465	4.90930697	9.14E-07	6.95E-06	
gene-J2S48_RS21365	332.1319599	2.08073113	0.398752941	5.218096012	1.81E-07	1.58E-06	
MSTRG.166.1	37.58012811	2.089030365	0.658244957	3.173636717	0.00150542	0.005170084	
gene-J2S48_RS08180	61.53982225	2.089885392	0.574371852	3.638558165	0.000274169	0.001190103	
gene-J2S48_RS16190	340.7892419	2.092325084	0.492557915	4.247876277	2.16E-05	0.000122435	
gene-J2S48_RS13225	140.773554	2.098025109	0.568277402	3.69190311	0.000222582	0.000991992	
MSTRG.2926.1	1955.310742	2.09876252	0.309984352	6.770543429	1.28E-11	2.07E-10	
rna-J2S48_RS24240	29.62684426	2.107399	0.789586893	2.668989339	0.007607987	0.021034551	
gene-J2S48_RS01880	820.5305683	2.110394458	0.319298659	6.609468592	3.86E-11	5.80E-10	
gene-J2S48_RS20355	398.2774727	2.11244645	0.361594492	5.842031606	5.16E-09	5.83E-08	
gene-J2S48_RS10145	1477.460091	2.126573269	0.311793712	6.820449516	9.08E-12	1.51E-10	
gene-J2S48_RS19295	376.800865	2.126821695	0.449119657	4.735534644	2.18E-06	1.51E-05	
gene-J2S48_RS07375	27.23999764	2.133219594	0.691624716	3.084359978	0.002039906	0.006760446	
gene-J2S48_RS09625	1739.652451	2.134455322	0.398016695	5.362728118	8.20E-08	7.58E-07	
gene-J2S48_RS20610	118.2588447	2.136523831	0.52463646	4.072389159	4.65E-05	0.000242569	
gene-J2S48_RS07790	287.0461095	2.137511744	0.479639482	4.456496645	8.33E-06	5.07E-05	
gene-J2S48_RS19870	3437.102798	2.140108655	0.426631908	5.016288316	5.27E-07	4.13E-06	
gene-J2S48_RS04555	7566.608751	2.144653796	0.41944657	5.11305599	3.17E-07	2.63E-06	
gene-J2S48_RS12510	1001.149138	2.150448028	0.352810987	6.095184412	1.09E-09	1.34E-08	
gene-J2S48_RS23890	127.7184438	2.150541953	0.667504742	3.221762811	0.001274046	0.004476411	
gene-J2S48_RS01850	337.2421196	2.157156367	0.326706529	6.602734175	4.04E-11	5.99E-10	
gene-J2S48_RS12425	352.3074968	2.157491352	0.375218259	5.749963656	8.93E-09	9.80E-08	
gene-J2S48_RS11110	317.6884359	2.159555455	0.41508143	5.202727217	1.96E-07	1.70E-06	
gene-J2S48_RS15030	337.09717	2.165319083	0.366031721	5.915659645	3.31E-09	3.81E-08	
MSTRG.3016.1	226.1056174	2.167670487	0.507440282	4.271774561	1.94E-05	0.000110818	
gene-J2S48_RS21475	207.9093482	2.172233438	0.440836224	4.927529366	8.33E-07	6.37E-06	
gene-J2S48_RS05645	1598.701886	2.173665764	0.386764652	5.620125192	1.91E-08	1.97E-07	
gene-J2S48_RS13410	1207.850374	2.174189026	0.329143619	6.605593736	3.96E-11	5.90E-10	
MSTRG.42.1	153.1348141	2.178542419	0.719451764	3.028059043	0.0024613	0.007990671	
gene-J2S48_RS22285	620.854181	2.178921021	0.443933491	4.908215	9.19E-07	6.97E-06	
gene-J2S48_RS19320	141.6219029	2.180422051	0.44842532	4.862397264	1.16E-06	8.63E-06	
gene-J2S48_RS18770	283.2861457	2.181536142	0.389345174	5.603090235	2.11E-08	2.13E-07	
gene-J2S48_RS11140	263.9033439	2.183036367	0.380025714	5.744443833	9.22E-09	1.01E-07	
MSTRG.492.1	212.9902686	2.183191662	0.431921773	5.054599695	4.31E-07	3.46E-06	
gene-J2S48_RS00035	146.7813519	2.183746786	0.58741969	3.717523982	0.000201185	0.000907015	
gene-J2S48_RS10590	81.55558964	2.184309118	0.493882646	4.422729035	9.75E-06	5.89E-05	
gene-J2S48_RS11920	69.65573141	2.185345973	0.600926581	3.636627235	0.000276231	0.001194615	
MSTRG.125.1	30.34090611	2.186937949	0.852715991	2.564673317	0.010327299	0.02761567	
MSTRG.1613.1	177.3095975	2.202763185	0.547757276	4.021422047	5.78E-05	0.00029157	
gene-J2S48_RS02335	42.04157797	2.204938467	0.904580815	2.43752513	0.014788186	0.037348967	
gene-J2S48_RS01165	92.29765225	2.207667742	0.570352362	3.870708508	0.000108519	0.0005151	
MSTRG.1053.1	157.8617542	2.20805293	0.604915487	3.650184161	0.000262052	0.001147462	
gene-J2S48_RS25640	444.956361	2.220356834	0.465239018	4.772507786	1.82E-06	1.29E-05	
MSTRG.2142.2	4179.785622	2.225878338	0.436922325	5.094448623	3.50E-07	2.88E-06	
gene-J2S48_RS12225	210.3840929	2.229380291	0.651776217	3.420468918	0.000625133	0.002419713	
MSTRG.2752.1	112.660614	2.231526042	0.550561636	4.053181145	5.05E-05	0.0002599	
gene-J2S48_RS13200	4912.373971	2.235983131	0.330530058	6.764840523	1.33E-11	2.14E-10	
gene-J2S48_RS13625	581.3849466	2.238119672	0.353793104	6.326069242	2.51E-10	3.30E-09	
gene-J2S48_RS17415	926.3879352	2.239739779	0.316279289	7.081525269	1.43E-12	2.59E-11	
gene-J2S48_RS11220	114.1401158	2.244308669	0.579899335	3.87016941	0.00010876	0.000515542	
MSTRG.860.1	205.3639963	2.248630173	0.389379663	5.774904003	7.70E-09	8.54E-08	
MSTRG.3498.1	3364.300195	2.249706479	0.36980564	6.083483419	1.18E-09	1.43E-08	
gene-J2S48_RS01560	253.6758534	2.251692364	0.417159003	5.397683736	6.75E-08	6.32E-07	
gene-J2S48_RS17200	96.41123842	2.252129693	0.647347156	3.479013808	0.000503263	0.002012476	
MSTRG.1748.1	43.5074354	2.252412988	0.868997425	2.591967391	0.009542882	0.025773874	
gene-J2S48_RS20130	1184.757075	2.252514601	0.265441922	8.485903754	2.14E-17	8.06E-16	
MSTRG.257.1	79.4093986	2.258610719	0.575405107	3.925253167	8.66E-05	0.000422695	
gene-J2S48_RS26340	120.9504079	2.26023747	0.678801083	3.329749357	0.000869242	0.003249685	
MSTRG.2697.1	131.0329036	2.272371447	0.493528277	4.604338909	4.14E-06	2.71E-05	
gene-J2S48_RS20555	189.6722632	2.274472802	0.64996966	3.499352264	0.00046639	0.001890931	
gene-J2S48_RS13870	2042.180579	2.285232855	0.566184432	4.036198675	5.43E-05	0.000276194	
MSTRG.510.1	168.9826576	2.296655212	0.625848678	3.669665357	0.000242868	0.001071495	
gene-J2S48_RS01805	115.2314825	2.29704231	0.476642568	4.819213527	1.44E-06	1.05E-05	
MSTRG.1291.1	85.56752061	2.303653434	0.665429835	3.461902835	0.000536371	0.002123058	
gene-J2S48_RS09280	379.6856243	2.309368948	0.354661762	6.511468654	7.44E-11	1.08E-09	
gene-J2S48_RS13615	12786.44329	2.313130904	0.412056731	5.613622424	1.98E-08	2.02E-07	
MSTRG.863.1	8000.821905	2.315721821	0.324251809	7.141739099	9.22E-13	1.74E-11	
MSTRG.152.1	100.5782843	2.316945961	0.480813252	4.818806366	1.44E-06	1.05E-05	
MSTRG.1102.1	329.4144947	2.32428036	0.366340558	6.344589231	2.23E-10	2.95E-09	
MSTRG.57.1	1815.278095	2.329313914	0.328467469	7.09146	1.33E-12	2.42E-11	
gene-J2S48_RS15600	96.05397725	2.33687481	0.563564911	4.146593878	3.37E-05	0.000182707	
gene-J2S48_RS07390	185.8532393	2.339685268	0.424087047	5.516993001	3.45E-08	3.38E-07	
gene-J2S48_RS06110	199.9222985	2.343014549	0.499295952	4.692636781	2.70E-06	1.84E-05	
gene-J2S48_RS14055	270.1905056	2.348416195	0.466701638	5.031943334	4.86E-07	3.86E-06	
gene-J2S48_RS23985	54.82147273	2.358284171	0.636165618	3.707028649	0.000209705	0.000939383	
gene-J2S48_RS21530	1632.085109	2.36674565	0.490354498	4.826601286	1.39E-06	1.01E-05	
gene-J2S48_RS00575	37.73548426	2.370295099	0.83096031	2.852476911	0.004337996	0.013032591	
gene-J2S48_RS06690	124.8622007	2.370955784	0.460849119	5.144754947	2.68E-07	2.26E-06	
gene-J2S48_RS21385	25.0905517	2.372518532	0.921056435	2.575866627	0.009998921	0.026860597	
gene-J2S48_RS06895	33.85893449	2.384669329	0.854987483	2.789127766	0.005285021	0.015583694	
gene-J2S48_RS18865	3378.839953	2.384841952	0.412381053	5.783102634	7.33E-09	8.16E-08	
gene-J2S48_RS23975	205.6026908	2.397508666	0.527462968	4.545359221	5.48E-06	3.50E-05	
gene-J2S48_RS00710	119.0500071	2.416267766	0.560933427	4.30758384	1.65E-05	9.59E-05	
gene-J2S48_RS09385	339.9982998	2.418936	0.361076764	6.699229199	2.10E-11	3.28E-10	
MSTRG.1538.1	241.4062639	2.426752581	0.473500822	5.125128549	2.97E-07	2.48E-06	
rna-J2S48_RS07310	17.58239857	2.428059877	0.986470571	2.461360682	0.013841114	0.035416671	
gene-J2S48_RS18880	3526.854758	2.434463475	0.330866453	7.357843189	1.87E-13	3.87E-12	
gene-J2S48_RS14810	119.6808513	2.436219089	0.831104332	2.931303561	0.003375428	0.010538434	
gene-J2S48_RS25085	2629.115991	2.44001681	0.343296725	7.107602928	1.18E-12	2.17E-11	
gene-J2S48_RS18915	800.9969615	2.44395549	0.309337811	7.900603816	2.78E-15	7.48E-14	
gene-J2S48_RS13370	597.440081	2.444334858	0.339192738	7.206330153	5.75E-13	1.12E-11	
gene-J2S48_RS09320	2237.532859	2.446546588	0.413068718	5.922856132	3.16E-09	3.67E-08	
gene-J2S48_RS09845	294.3011578	2.446742011	0.390517881	6.265377677	3.72E-10	4.77E-09	
MSTRG.3438.1	1194.606224	2.447267013	0.339500124	7.208442168	5.66E-13	1.11E-11	
gene-J2S48_RS16890	457.2670543	2.457767985	0.325570574	7.549109733	4.38E-14	9.72E-13	
gene-J2S48_RS11730	11.50986463	2.463062519	1.043919641	2.359436898	0.018302693	0.044803868	
gene-J2S48_RS21880	2705.523439	2.464452698	0.312129784	7.895602476	2.89E-15	7.67E-14	
gene-J2S48_RS24075	2361.371438	2.476734723	0.465707439	5.318220233	1.05E-07	9.51E-07	
MSTRG.54.1	15.8454277	2.478484186	0.970213186	2.554576892	0.010631694	0.028343094	
gene-J2S48_RS08500	480.9747147	2.481339278	0.382514778	6.486910888	8.76E-11	1.24E-09	
MSTRG.2427.1	209.9494244	2.493063976	0.353262639	7.057253455	1.70E-12	3.04E-11	
gene-J2S48_RS09730	188.0514213	2.501683969	0.46852333	5.339507781	9.32E-08	8.52E-07	
MSTRG.2755.1	490.6763772	2.518964736	0.388198561	6.488856454	8.65E-11	1.24E-09	
gene-J2S48_RS17495	126.2246146	2.524274453	0.440448649	5.731143595	9.98E-09	1.08E-07	
gene-J2S48_RS01810	15.60043726	2.533392534	1.026548708	2.467873676	0.013591828	0.03482968	
gene-J2S48_RS19345	400.0257274	2.547208472	0.357864305	7.11780536	1.10E-12	2.04E-11	
gene-J2S48_RS24480	40.45840215	2.554905133	0.880583008	2.901379098	0.003715241	0.011466511	
gene-J2S48_RS22550	38.75106604	2.564129538	0.665298501	3.854103883	0.000116154	0.000545427	
MSTRG.1517.1	58.30135381	2.572186797	0.60555156	4.24767595	2.16E-05	0.000122435	
gene-J2S48_RS06115	467.1256002	2.578559285	0.435058154	5.926930133	3.09E-09	3.62E-08	
gene-J2S48_RS14735	824.312205	2.587959118	0.312281887	8.287253357	1.16E-16	4.00E-15	
gene-J2S48_RS19005	314.448335	2.59013451	0.372503978	6.953306979	3.57E-12	6.19E-11	
gene-J2S48_RS13070	423.940957	2.59230515	0.335968357	7.715920553	1.20E-14	2.84E-13	
gene-J2S48_RS25080	5402.700576	2.594336084	0.326313873	7.950431463	1.86E-15	5.29E-14	
gene-J2S48_RS09900	292.488929	2.598084873	0.397065771	6.543210383	6.02E-11	8.75E-10	
rna-J2S48_RS15090	192.7206129	2.600132458	0.500578641	5.194253699	2.06E-07	1.77E-06	
MSTRG.142.1	106.2414252	2.606894111	0.468455573	5.564869454	2.62E-08	2.63E-07	
gene-J2S48_RS21730	148.403226	2.609560398	0.502423867	5.193941951	2.06E-07	1.77E-06	
gene-J2S48_RS04880	86.60276279	2.61386154	0.613780441	4.258626317	2.06E-05	0.000117158	
MSTRG.168.1	91.13224136	2.61797393	0.548545135	4.772577062	1.82E-06	1.29E-05	
rna-J2S48_RS17355	68.06346064	2.620160754	0.63024486	4.15736949	3.22E-05	0.000175114	
gene-J2S48_RS11320	46.36288756	2.626427298	0.700256162	3.750666457	0.000176365	0.000806537	
gene-J2S48_RS19820	506.0188391	2.632556138	0.39213721	6.713354594	1.90E-11	3.00E-10	
gene-J2S48_RS03950	3664.084339	2.639069358	0.378439676	6.973553588	3.09E-12	5.44E-11	
gene-J2S48_RS13670	4155.028329	2.63941185	0.478192846	5.519555282	3.40E-08	3.34E-07	
gene-J2S48_RS06780	34.55984581	2.651252212	0.823625114	3.219003606	0.001286369	0.004512818	
gene-J2S48_RS07760	211.9856686	2.65214665	0.40346484	6.573426943	4.92E-11	7.21E-10	
gene-J2S48_RS18320	6702.956468	2.65259564	0.29788884	8.904649251	5.36E-19	2.61E-17	
MSTRG.2480.1	1674.249941	2.655911473	0.620605515	4.279548616	1.87E-05	0.000107368	
gene-J2S48_RS12795	875.2491974	2.6756878	0.40843238	6.551115756	5.71E-11	8.34E-10	
gene-J2S48_RS13620	271.3585492	2.690107189	0.394377445	6.821148679	9.03E-12	1.51E-10	
MSTRG.625.1	14858.02165	2.697765482	0.34869424	7.73676525	1.02E-14	2.48E-13	
gene-J2S48_RS06930	5379.425713	2.702117569	0.376506028	7.176824194	7.13E-13	1.36E-11	
MSTRG.2476.1	12793.6886	2.704065784	0.983220049	2.750214244	0.005955631	0.017100472	
rna-J2S48_RS15075	243.6703283	2.706154855	0.726677711	3.724009712	0.000196083	0.000885155	
gene-J2S48_RS14770	39.91452522	2.712226408	0.665619849	4.074737876	4.61E-05	0.000240492	
gene-J2S48_RS14760	327.0464799	2.717077441	0.480912425	5.649838305	1.61E-08	1.67E-07	
MSTRG.1361.1	1439.642608	2.732234375	0.546965993	4.99525457	5.88E-07	4.56E-06	
gene-J2S48_RS18920	811.7654329	2.73421272	0.341897023	7.997182017	1.27E-15	3.84E-14	
gene-J2S48_RS07370	147.0075141	2.745907312	0.514006906	5.342160351	9.18E-08	8.42E-07	
gene-J2S48_RS19750	30.17636728	2.747155812	0.844747923	3.252042102	0.00114579	0.004071847	
gene-J2S48_RS22825	54.92318871	2.752978913	0.579007363	4.754652684	1.99E-06	1.38E-05	
gene-J2S48_RS19075	79.55233446	2.756723866	0.591502202	4.660547087	3.15E-06	2.14E-05	
gene-J2S48_RS14920	19708.31425	2.765454313	0.277820369	9.95410929	2.42E-23	1.88E-21	
MSTRG.411.1	94.56927673	2.770658966	0.518014919	5.348608435	8.86E-08	8.15E-07	
gene-J2S48_RS13240	518.1395969	2.783463332	0.526034996	5.291403337	1.21E-07	1.08E-06	
gene-J2S48_RS19185	20.04659631	2.788807001	0.844161941	3.303639819	0.000954384	0.003500739	
gene-J2S48_RS04565	833.0708254	2.808512545	0.404681554	6.940055752	3.92E-12	6.73E-11	
