geneID	Base mean	log2(FC)	STDERR	Waldstats	P-value	P-adjust
gene-J2S48_RS20875	4315.81681438768	5.24838143567774	0.279240136500763	18.7952258634689	8.2627664865338e-79	2.89444710023279e-75
gene-J2S48_RS20100	16788.1202286816	7.60868151475309	0.429964465158841	17.696070562348	4.49604275813747e-70	7.87481889087778e-67
gene-J2S48_RS06520	1608.58286999565	4.94558550126207	0.303293932202369	16.3062461070345	8.91030760284424e-60	1.04042691775878e-56
rna-J2S48_RS07170	905.14490994612	7.33191451904132	0.456139264489093	16.073850882479	3.89142525017476e-58	3.40791566284054e-55
rna-J2S48_RS12480	1516.02432856795	7.85929829290913	0.490129992376249	16.035130302485	7.26311011664508e-58	5.08853494772154e-55
MSTRG.97.1	30902.4723753917	7.55012968764115	0.512154075534094	14.7419107809844	3.46830949929005e-49	2.02491469600217e-46
rna-J2S48_RS12475	621.267723961369	5.37383058059954	0.375084473868529	14.3269875321022	1.48420340824912e-46	7.42737791299524e-44
gene-J2S48_RS16660	7572.99540398537	-4.86020833255742	0.339820840403359	-14.3022668262149	2.11796640876607e-46	9.27404541238444e-44
MSTRG.767.1	8955.62601054122	4.63366697484596	0.336740393223016	13.7603538752691	4.41361194542397e-43	1.71787584942446e-40
gene-J2S48_RS02325	885.950671232426	10.3021311528321	0.767334598477545	13.425865552358	4.26570991914202e-41	1.49427818467545e-38
MSTRG.3499.1	4049.1759110769	3.43417541909299	0.275959926658875	12.4444714153664	1.49873266159991e-35	4.7727822850768e-33
gene-J2S48_RS13825	2713.92351101304	-3.63714606125804	0.294614205507496	-12.3454537943707	5.15427971440757e-35	1.50462015329748e-32
MSTRG.1235.1	7313.10096313686	3.61387540137246	0.29738647180639	12.1521176784573	5.58986778073669e-34	1.5062543719939e-31
gene-J2S48_RS00300	1287.44130367662	3.94060734649894	0.324971291007242	12.1260168376262	7.6899740563795e-34	1.92414136567838e-31
gene-J2S48_RS21085	1023.71707547629	4.0959755150591	0.344548991779405	11.8879335385823	1.36748165253644e-32	3.19352548589011e-30
gene-J2S48_RS02320	382.006073064233	5.13373354604418	0.435573692357136	11.7861423592013	4.60138679933407e-32	1.0074161223792e-29
